customer_id,customer_name,email,country,signup_date
1,John Doe,john.doe@email.com,USA,2024-01-15
2,Jane Smith,jane.smith@email.com,UK,2024-01-20
3,Bob Johnson,bob.j@email.com,Canada,2024-02-01
4,Alice Williams,alice.w@email.com,USA,2024-02-10
5,Charlie Brown,charlie.b@email.com,Australia,2024-02-15
6,Emma Davis,emma.d@email.com,UK,2024-03-01
7,Frank Miller,frank.m@email.com,USA,2024-03-10
8,Grace Wilson,grace.w@email.com,Germany,2024-03-15
9,Henry Taylor,henry.t@email.com,France,2024-04-01
10,Iris Anderson,iris.a@email.com,USA,2024-04-10
